English;Czech
ability;schopnost
able;schopný
abroad;v zahraničí
accept;přijmout
accident;nehoda
according to;podle (koho/čeho)
achieve;dosáhnout
act;jednat, herecký výkon
active;aktivní
actually;vlastně, skutečně
adult;dospělý
advantage;výhoda
adventure;dobrodružství
advertise;inzerovat, propagovat
advertisement;inzerát, reklama
advertising;reklama (činnost)
affect;ovlivnit, postihnout
after;po, poté
against;proti
ah;ach, aha
airline;letecká společnost
alive;naživu
all;všechno, všichni
all right;dobře, v pořádku
allow;dovolit, povolit
almost;skoro, téměř
alone;sám
along;podél
already;už, již
alternative;alternativa
although;ačkoliv, i když
among;mezi (více věcmi/lidmi)
amount;množství
ancient;starověký
ankle;kotník
any;jakýkoli, žádný
anybody;kdokoliv, nikdo
any more;už ne, žádný další
anyway;každopádně, stejně
anywhere;kdekoli, nikde
app;aplikace
appear;objevit se, zdát se
appearance;vzhled, vystoupení
apply;požádat, aplikovat
architect;architekt
architecture;architektura
argue;hádat se, argumentovat
argument;hádka, argument
army;armáda
arrange;zařídit, uspořádat
arrangement;uspořádání, dohoda
as;jako, když, zatímco
asleep;spící, spát
assistant;asistent
athlete;atlet
attack;zaútočit, útok
attend;navštěvovat, zúčastnit se
attention;pozornost
attractive;přitažlivý, atraktivní
audience;publikum, diváci
author;autor
available;dostupný
average;průměr, průměrný
avoid;vyhnout se
award;ocenění, udělit
awful;hrozný, příšerný
back;zpět, záda
background;pozadí, původ
badly;špatně
bar;bar, tyč
baseball;baseball
based;založený (na)
basketball;basketbal
bean;fazole, bob
bear (animal);medvěd
beat;porazit, bít
beef;hovězí maso
before;před (časově, místně)
behave;chovat se
behaviour;chování
belong;patřit
belt;pásek, pás
benefit;prospěch, výhoda
best;nejlepší
better;lepší
between;mezi (dvěma)
billion;miliarda
bin;koš (na odpadky)
biology;biologie
birth;narození
biscuit;sušenka
bit;kousek, trochu
blank;prázdný
blood;krev
blow;foukat, rána
board;prkno, deska, paluba
boil;vařit, vřít
bone;kost
book;kniha, rezervovat
borrow;půjčit si
boss;šéf
bottom;dno, spodek
bowl;miska
brain;mozek
bridge;most
bright;jasný, bystrý
brilliant;brilantní, skvělý
broken;rozbitý
brush;kartáč, kartáčovat
burn;pálit, hořet
businessman;podnikatel
button;tlačítko, knoflík
camp;tábor, tábořit
camping;kempování
can;moci, umět, plechovka
care;péče, starat se
careful;opatrný
carefully;opatrně
carpet;koberec
cartoon;kreslený film, karikatura
case;případ, kufr
cash;hotovost
castle;hrad, zámek
catch;chytit
cause;způsobit, příčina
celebrate;oslavovat
celebrity;celebrita
certain;jistý, určitý
certainly;jistě, určitě
chance;šance, náhoda
character;charakter, postava
charity;charita
chat;povídat si, chat
check;zkontrolovat, kontrola
chef;šéfkuchař
chemistry;chemie
chip;čip, hranolek
choice;volba, výběr
church;kostel
cigarette;cigareta
circle;kruh
classical;klasický
clear;jasný, čistý
clearly;jasně, zřetelně
clever;chytrý
climate;podnebí, klima
close;zavřít, blízko
closed;zavřený, uzavřený
clothing;oblečení (souhrn)
cloud;mrak
coach;trenér, autobus
coast;pobřeží
code;kód
colleague;kolega
collect;sbírat
column;sloupec
comedy;komedie
comfortable;pohodlný
comment;komentář, komentovat
communicate;komunikovat
community;komunita, společenství
compete;soutěžit
competition;soutěž
complain;stěžovat si
completely;úplně, zcela
condition;stav, podmínka
conference;konference
connect;připojit, spojit
connected;připojený
consider;zvážit, považovat
contain;obsahovat
context;kontext
continent;kontinent
continue;pokračovat
control;kontrolovat, kontrola
cook;vařit, kuchař
cooker;sporák
copy;kopírovat, kopie
corner;roh, kout
correctly;správně
count;počítat
couple;pár, dvojice
cover;pokrýt, obálka
crazy;šílený, bláznivý
creative;kreativní
credit;kredit, úvěr
crime;zločin
criminal;zločinec, kriminální
cross;přejít, kříž
crowd;dav, zástup
crowded;přelidněný, nacpaný
cry;plakat, křičet
cupboard;skříňka, kredenc
curly;kudrnatý
cycle;cyklus, jezdit na kole
daily;denní, denně
danger;nebezpečí
dark;tmavý, tma
data;data, údaje
dead;mrtvý
deal;jednat, dohoda
dear;drahý (milovaný)
death;smrt
decision;rozhodnutí
deep;hluboký
definitely;rozhodně, určitě
degree;stupeň, titul
dentist;zubař
department;oddělení
depend;záviset
desert;poušť
designer;návrhář
destroy;zničit
detective;detektiv
develop;vyvíjet, rozvíjet
device;zařízení
diary;deník
differently;jinak, odlišně
digital;digitální
direct;přímý, řídit
direction;směr, pokyn
director;ředitel, režisér
disagree;nesouhlasit
disappear;zmizet
disaster;katastrofa
discover;objevit
discovery;objev
discussion;diskuse
disease;nemoc
distance;vzdálenost
divorced;rozvedený
document;dokument
double;dvojitý, zdvojnásobit
download;stáhnout
downstairs;dole, po schodech dolů
drama;drama
drawing;kresba
dream;sen, snít
drive;řídit, jízda
driving;řízení (auta)
drop;upustit, kapka
drug;lék, droga
dry;suchý, sušit
earn;vydělávat
earth;země (planeta), hlína
easily;snadno
education;vzdělání
effect;účinek, dopad
either;buď, ani
electric;elektrický
electrical;elektrický
electricity;elektřina
electronic;elektronický
employ;zaměstnat
employee;zaměstnanec
employer;zaměstnavatel
empty;prázdný
ending;konec, zakončení
energy;energie
engine;motor, stroj
engineer;inženýr
enormous;obrovský
enter;vstoupit
environment;životní prostředí
equipment;vybavení
error;chyba
especially;zvláště, především
essay;esej, sloh
everyday;každodenní
everywhere;všude
evidence;důkaz
exact;přesný
exactly;přesně
excellent;vynikající
except;kromě
exist;existovat
expect;očekávat
experience;zkušenost
experiment;experiment
expert;expert, odborník
explanation;vysvětlení
express;vyjádřit
expression;výraz
extreme;extrémní
extremely;extrémně, nesmírně
factor;faktor, činitel
factory;továrna
fail;selhat, neuspět
fair;spravedlivý, světlý, veletrh
fall;padat, podzim
fan;fanoušek, větrák
farm;farma
farming;zemědělství
fashion;móda
fat;tlustý, tuk
fear;strach
feature;prvek, rys, mít v hlavní roli
feed;krmit, nakrmit
female;žena, samice
fiction;beletrie, fikce
field;pole, obor
fight;bojovat, boj
figure;číslo, postava, postavit
film;film
final;konečný, finále
finally;nakonec
finger;prst
finish;dokončit, konec
first;první
firstly;za prvé
fish;ryba, lovit ryby
fishing;rybaření
fit;ve formě, hodit se
fix;opravit, upevnit
flat;byt, plochý
flu;chřipka
fly;letět, moucha
flying;létání
focus;zaměřit se, ohnisko
following;následující
foreign;zahraniční, cizí
forest;les
fork;vidlička
formal;formální
fortunately;naštěstí
forward;dopředu
free;volný, zdarma
fresh;čerstvý
fridge;lednička
frog;žába
fun;zábava
furniture;nábytek
further;další, dál
future;budoucnost
gallery;galerie
gap;mezera, propast
gas;plyn
gate;brána, vchod
general;obecný, generál
gift;dar, dárek
goal;cíl, gól
god;bůh
gold;zlato, zlatý
golf;golf
good;dobrý
government;vláda
grass;tráva
greet;pozdravit
ground;zem, půda
guest;host
guide;průvodce, vést
gun;zbraň
guy;chlap, kluk
habit;zvyk
half;polovina, půl
hall;hala, chodba
happily;šťastně
have;mít
headache;bolest hlavy
heart;srdce
heat;teplo, ohřívat
heavy;těžký
height;výška
helpful;užitečný, nápomocný
hero;hrdina
hers;její (zájmeno)
herself;sama (ona)
hide;schovat (se)
high;vysoký
hill;kopec
himself;sám (on)
his;jeho
hit;udeřit, zasáhnout
hockey;hokej
hold;držet, pořádat
hole;díra, otvor
home;domov, doma
hope;doufat, naděje
huge;obrovský
human;lidský, člověk
hurt;zranit, bolet
ideal;ideální
identify;identifikovat, poznat
ill;nemocný
illness;nemoc
image;obrázek, představa
immediately;okamžitě
impossible;nemožný
included;zahrnutý
including;včetně
increase;zvýšit, nárůst
incredible;neuvěřitelný
independent;nezávislý
individual;jednotlivec, individuální
industry;průmysl
informal;neformální
injury;zranění
insect;hmyz
inside;uvnitř
instead;namísto (toho)
instruction;instrukce, pokyn
instructor;instruktor
instrument;nástroj, hudební nástroj
intelligent;inteligentní
international;mezinárodní
introduction;úvod
invent;vynalézt
invention;vynález
invitation;pozvánka
invite;pozvat
involve;zahrnovat, zapojit
item;položka, předmět
itself;samo (o sobě)
jam;džem, zácpa
jazz;jazz
jewellery;šperky
joke;vtip
journalist;novinář
jump;skákat, skok
kid;dítě, vtipkovat
kill;zabít
king;král
knee;koleno
knife;nůž
knock;klepat, rána
knowledge;znalost, vědomosti
lab;laboratoř
lady;dáma
lake;jezero
lamp;lampa
land;přistát, země
laptop;notebook
last;poslední, trvat
later;později
laughter;smích
law;zákon, právo
lawyer;právník
lazy;líný
lead;vést, olovo
leader;vůdce, lídr
learning;učení
least;nejméně
lecture;přednáška
lemon;citron
lend;půjčit (někomu)
less;méně
level;úroveň
lifestyle;životní styl
lift;zvednout, výtah
light (a lamp);světlo, lampa
light (not heavy);lehký
likely;pravděpodobně
link;odkaz, spojení
listener;posluchač
little;malý, trochu
lock;zamknout, zámek
look;dívat se, vzhled
lorry;nákladní auto
lost;ztracený
loud;hlasitý
loudly;hlasitě
lovely;krásný, milý
low;nízký
luck;štěstí
lucky;šťastný
mail;pošta, poslat
major;hlavní, major
male;muž, samec
manage;řídit, zvládnout
manager;manažer
manner;způsob, chování
mark;značka, známka
marry;oženit se, vdát se
material;materiál
mathematics;matematika
maths;matematika
matter;záležitost, záležet
may modal;smět, možná
media;média
medical;lékařský
medicine;lék, medicína
memory;paměť
mention;zmínit
metal;kov
method;metoda
middle;střed
might;mohl by (možnost)
mind;mysl, nevadit
mine (belongs to me);můj (zájmeno), důl
mirror;zrcadlo
missing;chybějící, ztracený
mobile;mobilní, mobil
monkey;opice
moon;měsíc
mostly;většinou
motorcycle;motocykl
movement;pohyb
musical;hudební, muzikál
musician;hudebník
myself;sám (já)
narrow;úzký
national;národní
nature;příroda, povaha
nearly;téměř, skoro
necessary;nutný, potřebný
neck;krk
need;potřebovat
neither;ani jeden, též ne
nervous;nervózní
network;síť
noise;hluk
noisy;hlučný
none;žádný
normal;normální
normally;normálně, obvykle
notice;všimnout si, oznámení
novel;román
nowhere;nikde
number;číslo
nut;ořech, matice
ocean;oceán
offer;nabídnout, nabídka
officer;důstojník, úředník
oil;olej, ropa
onto;na (pohyb)
opportunity;příležitost
option;možnost, volba
ordinary;obyčejný
organisation;organizace
organise;organizovat, uspořádat
original;originální, původní
ourselves;sami (my)
outside;venku, vně
oven;trouba
own;vlastní, vlastnit
owner;majitel
pack;balit, balení
pain;bolest
painter;malíř
palace;palác
pants;kalhoty (US), spodky (UK)
parking;parkování
particular;konkrétní, zvláštní
pass;projít, podat
passenger;cestující
past;minulost, minulý
patient;trpělivý, pacient
pattern;vzor, model
pay;platit
peace;mír
penny;pence
per;za (na)
per cent;procento
perform;vystupovat, provádět
perhaps;možná
permission;povolení
personality;osobnost
pet;domácí mazlíček
petrol;benzín
photograph;fotografie
physical;fyzický
physics;fyzika
pick;vybrat, sebrat
pilot;pilot
planet;planeta
plant;rostlina, sázet
plastic;plast, plastový
plate;talíř, deska
platform;nástupiště, platforma
please;prosím, potěšit
pleased;potěšený, rád
pocket;kapsa
polite;zdvořilý
pollution;znečištění
pop;pop (hudba), prasknout
population;populace, obyvatelstvo
position;pozice, poloha
possession;majetek, držení
possibility;možnost
poster;plakát
power;síla, moc
